(4,89.5859)
(5,63.866)
(2,81.5234)
(18,46.3205)
(12,17.9679)
(2,52.1496)
(22,66.8752)
(11,20.9398)
(17,82.9634)
(23,3.51056)
(2,32.1722)
(20,52.0071)
(7,71.5246)
(19,10.0197)
(10,44.7864)
(11,77.2381)
(19,51.9469)
(16,72.0535)
(10,2.06325)
(9,59.5287)
(14,67.8406)
(14,14.1149)
(23,91.4182)
(12,69.4883)
(23,35.8666)
(9,78.383)
(20,38.0853)
(19,21.2859)
(14,19.4099)
(0,70.5603)
(18,35.234)
(11,92.6583)
(5,11.03)
(19,57.4068)
(3,79.8705)
(5,99.1828)
(8,19.7414)
(20,59.5721)
(9,52.7554)
(12,98.1495)
(11,64.609)
(4,32.2286)
(17,42.1874)
(1,43.5684)
(5,80.1472)
(4,27.9126)
(0,2.39162)
(0,92.3062)
(4,43.2762)
(13,9.12829)
(11,42.6149)
(5,67.4518)
(10,12.5228)
(0,88.2178)
(14,7.3299)
(2,62.2093)
(3,48.4122)
(23,73.4672)
(12,57.7347)
(19,79.3802)
(15,6.39426)
(16,85.4424)
(7,78.5303)
(2,5.5259)
(21,68.3564)
(8,75.9982)
(4,19.3676)
(23,22.2542)
(17,28.5535)
(6,77.481)
(13,40.6375)
(23,4.93199)
(20,99.5476)
(21,9.44092)
(11,15.8896)
(5,9.46106)
